Player,Age,Positions,Team,Foot,Real_Salary,Market_Value,Goals,Expected Goals,Successful Dribbles,Tackles,Assists,Accurate Passes Percentage,Big Chances Missed,Total Shots,Goal Conversion Percentage,Interceptions,Clearances,Error Lead To Goal,Outfielder Blocks,Big Chances Created,Accurate Passes,Key Passes,Saves,Clean Sheet,Penalty Save,Saved Shots From Inside The Box,Runs Out,Tactical_Role
Habibu Yakubu,24,CB,Kano Pillars,Right,12948,42466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Martín Chiatti,32,CB,The Strongest,Right,13832,12562,0.0,0.0,0.0,13.0,0.0,77.8,0.0,9.0,0.0,7.0,63.0,0.0,11.0,1.0,403.0,3.0,0.0,0.0,0.0,0.0,0.0,0
Pau Cubarsí,18,CB,Barcelona,Right,4493840,115617123,1.0,0.5900000000000001,1.0,44.0,0.0,62.49,0.0,12.0,3.333333333333333,36.0,130.0,0.0,15.0,1.0,2581.0,5.0,0.0,0.0,0.0,0.0,0.0,1
Dayot Upamecano,26,CB,FC Bayern München,Right,9480224,93844752,1.0,1.2,3.0,53.0,2.0,91.34,2.0,13.0,6.25,28.0,70.0,1.0,8.0,5.0,1844.0,13.0,0.0,0.0,0.0,0.0,0.0,1
Gustavo Fernandes,25,CB,Penafiel,Left,26676,32279,0.0,0.0,1.0,5.0,0.0,74.01,4.0,7.0,0.0,3.0,42.0,0.0,5.0,0.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Ghazi Abderrazzak,38,CB,US Ben Guerdane,Left,10660,2709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wesley Fofana,24,CB,Chelsea,Right,10400000,90100000,0.0,0.74,13.0,22.0,2.0,91.86666666666667,0.0,10.0,0.0,40.0,133.0,0.0,19.0,2.0,1394.0,6.0,0.0,0.0,0.0,0.0,0.0,1
Javi Mérida,29,CB,Juventud Torremolinos CF,Right,23296,36756,2.0,0.0,19.0,0.0,1.0,77.73,0.0,22.0,9.09,0.0,66.0,0.0,0.0,0.0,583.0,3.0,0.0,0.0,0.0,0.0,0.0,0
Bremer,28,CB,Juventus,Right,8002540,51852408,3.0,1.81,1.0,22.0,3.0,88.245,1.0,12.0,13.635,23.0,79.0,0.0,10.0,0.0,970.0,9.0,0.0,0.0,0.0,0.0,0.0,1
Riccardo Calafiori,23,"LB, CB",Arsenal,Left,3380000,72508330,1.0,2.98,17.0,38.0,3.0,88.27333333333333,1.0,36.0,1.19,19.0,55.0,0.0,3.0,1.0,723.0,7.0,0.0,0.0,0.0,0.0,0.0,1
Gustavo Chará,29,CB,Árabe Unido,Right,31772,11242,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ruxi,30,CB,Madura United FC,Left,24908,35313,0.0,0.0,6.0,0.0,1.0,81.72,0.0,14.0,0.0,0.0,42.0,0.0,0.0,0.0,550.0,16.0,0.0,0.0,0.0,0.0,0.0,0
Jorrel Hato,19,"LB, CB, LWB",Chelsea,Left,5200000,62104000,0.0,0.69,7.0,30.0,1.0,92.58333333333331,1.0,10.0,0.0,15.0,48.0,1.0,5.0,1.0,799.0,12.0,0.0,0.0,0.0,0.0,0.0,1
Alessandro Bastoni,26,CB,Inter,Left,8806252,83738392,2.0,1.87,7.0,60.0,5.0,88.53,4.0,19.0,19.79,28.0,106.0,0.0,10.0,11.0,1961.0,38.0,0.0,0.0,0.0,0.0,0.0,1
Nico Schlotterbeck,25,CB,Borussia Dortmund,Left,3878212,64509576,4.0,3.45,14.0,56.0,1.0,88.95500000000001,2.0,33.0,6.665,28.0,114.0,0.0,13.0,1.0,1770.0,9.0,0.0,0.0,0.0,0.0,0.0,1
Ibrahima Konaté,26,CB,Liverpool,Right,7280000,44392000,2.0,1.88,7.0,55.0,0.0,88.76,4.0,18.0,11.25,32.0,203.0,1.0,24.0,2.0,1880.0,7.0,0.0,0.0,0.0,0.0,0.0,1
Giorgio Scalvini,21,CB,Atalanta,Right,2402504,75272408,2.0,2.24,8.0,34.0,0.0,88.14500000000001,4.0,15.0,7.69,29.0,57.0,0.0,12.0,1.0,774.0,11.0,0.0,0.0,0.0,0.0,0.0,1
Cristhian Mosquera,21,CB,Arsenal,Right,3120000,49616667,0.0,0.23,0.0,34.0,0.0,91.76,1.0,1.0,0.0,12.0,55.0,0.0,11.0,0.0,796.0,3.0,0.0,0.0,0.0,0.0,0.0,0
Eliseo Falcón,28,"CB, RB",CD Arenteiro,Right,169780,41767,1.0,0.0,4.0,0.0,1.0,82.47,0.0,12.0,8.33,0.0,73.0,0.0,0.0,0.0,574.0,3.0,0.0,0.0,0.0,0.0,0.0,0
Micky van de Ven,24,CB,Tottenham Hotspur,Left,4420000,66616667,6.0,3.3,13.0,42.0,1.0,90.745,1.0,21.0,30.0,29.0,136.0,2.0,26.0,1.0,1598.0,8.0,0.0,0.0,0.0,0.0,0.0,1
Piero Hincapié,23,"LB, CB",Arsenal,Left,4309136,51852408,1.0,1.14,8.0,55.0,2.0,86.7925,1.0,9.0,12.5,27.0,94.0,0.0,9.0,3.0,961.0,13.0,0.0,0.0,0.0,0.0,0.0,1
Ousmane Diomande,21,CB,Sporting CP,Right,1622244,69136544,1.0,0.95,0.0,16.0,0.0,93.71,0.0,12.0,25.0,17.0,73.0,1.0,7.0,0.0,1151.0,2.0,0.0,0.0,0.0,0.0,0.0,1
