Player,Age,Nation,Pos,Team,League,Preferred_Foot,Wage,Value,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,A-xAG,KP,1/3,PPA,CrsPA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,90s_Gls,90s_Ast,90s_G+A,90s_G-PK
Aaron Ciammaglichella,21.0,ITA,"CM, CDM",SS Juve Stabia,Serie B,Right,312.000,950.000,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Keller,21.0,GER,"LM, RM, CAM, LB",SpVgg Greuther Fürth,2.Bundesliga,Right,156.000,2.300.000,21.0,16.0,1413.0,15.7,3.0,1.5,4.5,3.0,0.0,0.0,2.0,0.0,0.195,0.09,0.285,0.195,0.285,28.5,9.0,47.400000000000006,1.815,0.5700000000000001,0.165,0.495,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,14.0,16.0,2.0,45.0,0.0,0.0,0.0,5,24.0,0,0.9,22.0,34.0,-12.0,-0.76,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.13,0.06,0.19,0.13
Aaron Nicolás Molinas,25.0,ARG,"CAM, CM",Defensa y Justicia,Liga Argentina,Right,624.000,4.600.000,7.0,7.0,628.0,7.0,1.5,4.5,6.0,0.0,1.0,1.0,1.0,0.0,0.21,0.645,0.855,0.0,0.645,15.0,7.5,75.0,2.145,1.08,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,10.5,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,24.0,0.0,0.0,0.0,0,,0,1.57,7.0,4.0,3.0,0.43,1.41,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.14,0.43,0.57,0.0
Aaron Ramsey,,ENG,"CAM, LM, CM",Leicester City,Championship,Desconocido,Sin Dato,Sin Dato,8.0,3.0,269.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.005,0.0,1.005,1.005,1.005,16.5,9.0,81.75,5.5200000000000005,3.015,0.27,0.495,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,5,25.0,3,1.0,6.0,4.0,2.0,0.67,1.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.67,0.0,0.67,0.67
Aarón Martin,19.0,ESP,"CAM, CM, CDM",CD Mirandés,Segunda División,Right,416.000,1.800.000,12.0,5.0,397.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.675,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,2.0,0.0,0.0,0.0,7,12.0,16,1.0,4.0,8.0,-4.0,-0.91,-0.36,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aarón Ochoa,18.0,IRL,"CAM, LM, ST, CM",Málaga CF,Segunda División,Right,104.000,1.500.000,14.0,2.0,383.0,4.3,1.5,1.5,3.0,1.5,0.0,0.0,5.0,0.0,0.345,0.345,0.705,0.345,0.705,10.5,4.5,64.35,2.46,1.0499999999999998,0.21,0.495,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,4.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,18.0,0.0,0.0,0.0,12,22.0,9,2.07,11.0,4.0,7.0,1.64,1.52,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.23,0.23,0.47,0.23
Abbas Al Hassan,22.0,KSA,"CM, CDM, LW",NEOM SC,Liga MX,Right,104.000,550.000,8.0,4.0,314.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3.0,60.0,2.145,0.855,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,16.5,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,4,6.0,0,1.63,7.0,6.0,1.0,0.29,0.53,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abbosbek Fayzullayev,22.0,UZB,"CAM, RM, LM, CM",Medipol Başakşehir FK,Liga MX,Right,208.000,1.600.000,16.0,12.0,947.0,10.5,3.0,1.5,4.5,3.0,0.0,0.0,3.0,0.0,0.285,0.15,0.4349999999999999,0.285,0.4349999999999999,40.5,16.5,61.05,3.855,1.5750000000000002,0.105,0.27,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,22.5,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,17.0,19.0,3.0,70.0,0.0,0.0,0.0,4,22.0,1,1.75,19.0,6.0,13.0,1.24,1.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.19,0.1,0.29,0.19
Abdel Hbouch,27.0,FRA,"LW, ST, CM, LM",FC Annecy,Ligue 2,Right,104.000,525.000,24.0,13.0,1205.0,13.4,3.0,4.5,7.5,3.0,0.0,1.0,0.0,0.0,0.2249999999999999,0.33,0.5549999999999999,0.2249999999999999,0.5549999999999999,36.0,13.5,56.25,2.685,1.005,0.12,0.33,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,24.0,34.0,2.0,93.0,0.0,0.0,0.0,11,24.0,0,1.58,16.0,15.0,1.0,0.07,-0.61,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.15,0.22,0.37,0.15
Abdelhamid Sabiri,29.0,MAR,"CAM, CM, ST",Fiorentina,Serie A,Right,1.664.000,2.400.000,1.0,0.0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.66,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1,27.0,6,1.0,2.0,0.0,2.0,6.67,7.19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdelkahar Kadri,25.0,ALG,"CM, CAM, LM, CDM",KAA Gent,Liga MX,Right,780.000,7.000.000,21.0,19.0,1635.0,18.2,1.5,7.5,9.0,1.5,0.0,0.0,4.0,0.0,0.09,0.42,0.495,0.09,0.495,27.0,7.5,41.7,1.485,0.42,0.09,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,27.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,11.0,24.0,2.0,32.0,0.0,0.0,0.0,2,29.0,0,1.43,27.0,23.0,4.0,0.22,0.67,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.06,0.28,0.33,0.06
Abdellah Baallal,21.0,MAR,"CM, CDM",Clermont Foot 63,Ligue 2,Right,52.000,875.000,19.0,14.0,1405.0,15.6,1.5,1.5,3.0,1.5,0.0,0.0,2.0,0.0,0.09,0.09,0.195,0.09,0.195,30.0,6.0,30.0,1.92,0.39,0.075,0.375,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,25.5,0.0,0.0,0.0,,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,17.0,17.0,5.0,3.0,0.0,0.0,0.0,5,40.0,0,0.84,19.0,22.0,-3.0,-0.19,-0.09,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.06,0.06,0.13,0.06
Abderrazak Hamdallah,35.0,MAR,"ST, CAM",Al Shabab,Liga MX,Right,1.820.000,5.000.000,8.0,7.0,670.0,7.4,4.5,1.5,6.0,4.5,0.0,0.0,2.0,0.0,0.6000000000000001,0.195,0.81,0.6000000000000001,0.81,39.0,10.5,40.35,5.235,1.41,0.18,0.645,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,1,45.0,0,1.38,12.0,13.0,-1.0,-0.13,0.29,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4,0.13,0.54,0.4
Abdou Harroui,28.0,NED,"CM, CDM, CAM",Hellas Verona FC,Serie A,Right,468.000,2.000.000,16.0,6.0,521.0,5.8,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.34,0.0,0.34,0.0,0.0,16.0,4.0,50.0,2.76,0.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,13.0,0.0,0.0,0.0,10,13.0,7,0.5,3.0,14.0,-11.0,-1.9,-1.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.17,0.0,0.17,0.0
Abdoul Coulibaly,18.0,GER,"CB, CDM, CM",SV Werder Bremen,Bundesliga,Left,468.000,3.000.000,21.0,20.0,1730.0,19.2,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.1,0.0,0.1,0.1,0.1,12.0,2.0,33.4,0.62,0.1,0.34,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,16.0,6.0,1.0,11.0,0.0,0.0,1.0,1,13.0,0,0.86,18.0,35.0,-17.0,-0.88,-0.47,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.05,0.0,0.05,0.05
