Player,Age,Nation,Pos,Team,League,Preferred_Foot,Wage,Value,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,A-xAG,KP,1/3,PPA,CrsPA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,90s_Gls,90s_Ast,90s_G+A,90s_G-PK
Aaron Bibout,21.0,CMR,ST,KRC Genk,Liga MX,Right,208.000,800.000,7.0,5.0,409.0,4.5,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.66,0.66,24.0,9.0,56.25,5.28,1.98,0.195,0.495,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,2,22.0,2,1.86,9.0,7.0,2.0,0.44,0.57,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.44,0.0,0.44,0.44
Aarón Ochoa,18.0,IRL,"CAM, LM, ST, CM",Málaga CF,Segunda División,Right,104.000,1.500.000,14.0,2.0,383.0,4.3,1.5,1.5,3.0,1.5,0.0,0.0,5.0,0.0,0.345,0.345,0.705,0.345,0.705,10.5,4.5,64.35,2.46,1.0499999999999998,0.21,0.495,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,4.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,18.0,0.0,0.0,0.0,12,22.0,9,2.07,11.0,4.0,7.0,1.64,1.52,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.23,0.23,0.47,0.23
Abde Ezzalzouli,24.0,MAR,ST,Real Salt Lake,MLS,Right,416.000,4.100.000,17.0,15.0,1320.0,14.7,7.5,7.5,15.0,7.5,0.0,0.0,2.0,0.0,0.51,0.51,1.02,0.51,1.02,75.0,21.0,42.0,5.115,1.4249999999999998,0.15,0.54,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,19.0,48.0,2.0,29.0,0.0,0.0,0.0,2,32.0,0,1.76,28.0,18.0,10.0,0.68,0.68,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.34,0.34,0.68,0.34
Abdel Hbouch,27.0,FRA,"LW, ST, CM, LM",FC Annecy,Ligue 2,Right,104.000,525.000,24.0,13.0,1205.0,13.4,3.0,4.5,7.5,3.0,0.0,1.0,0.0,0.0,0.2249999999999999,0.33,0.5549999999999999,0.2249999999999999,0.5549999999999999,36.0,13.5,56.25,2.685,1.005,0.12,0.33,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,24.0,34.0,2.0,93.0,0.0,0.0,0.0,11,24.0,0,1.58,16.0,15.0,1.0,0.07,-0.61,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.15,0.22,0.37,0.15
Abdelhamid Sabiri,29.0,MAR,"CAM, CM, ST",Fiorentina,Serie A,Right,1.664.000,2.400.000,1.0,0.0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.66,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1,27.0,6,1.0,2.0,0.0,2.0,6.67,7.19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdelsamad Hachem,23.0,FRA,ST,Red Star FC,Ligue 2,Right,52.000,400.000,15.0,0.0,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,75.0,2.265,1.125,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,2.0,0.0,0.0,0.0,15,16.0,3,1.6,5.0,2.0,3.0,1.13,0.91,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abderrazak Hamdallah,35.0,MAR,"ST, CAM",Al Shabab,Liga MX,Right,1.820.000,5.000.000,8.0,7.0,670.0,7.4,4.5,1.5,6.0,4.5,0.0,0.0,2.0,0.0,0.6000000000000001,0.195,0.81,0.6000000000000001,0.81,39.0,10.5,40.35,5.235,1.41,0.18,0.645,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,1,45.0,0,1.38,12.0,13.0,-1.0,-0.13,0.29,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4,0.13,0.54,0.4
Abdoul Kader Bamba,31.0,FRA,"LM, CAM, ST, LW",Clermont Foot 63,Ligue 2,Right,208.000,1.000.000,23.0,20.0,1600.0,17.8,10.5,4.5,15.0,7.5,2.0,2.0,3.0,0.0,0.585,0.255,0.8400000000000001,0.42,0.675,55.5,21.0,56.7,3.12,1.185,0.21,0.54,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,59.0,6.0,48.0,0.0,0.0,0.0,3,18.0,0,1.09,22.0,23.0,-1.0,-0.06,0.36,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.39,0.17,0.56,0.28
Abdoul Karim Traoré,19.0,GUI,ST,Oud-Heverlee Leuven,Liga MX,Right,104.000,575.000,18.0,6.0,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,25.05,5.415,0.8999999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,7.5,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,18.0,10.0,7.0,10.0,0.0,0.0,0.0,12,13.0,7,0.89,6.0,9.0,-3.0,-0.45,0.04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulie Ceesay,22.0,GAM,ST,FC St. Pauli,Bundesliga,Right,364.000,1.900.000,15.0,0.0,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,50.0,3.32,0.82,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,15,14.0,6,0.4,4.0,6.0,-2.0,-0.83,-0.13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Kone,18.0,CIV,ST,Fatih Karagümrük,Liga MX,Right,52.000,250.000,2.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,150.0,7.5,7.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2,9.0,5,1.5,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulaziz Al Othman,,KSA,ST,Al Shabab,Liga MX,Desconocido,Sin Dato,Sin Dato,6.0,2.0,230.0,2.6,1.5,0.0,1.5,1.5,0.0,0.0,2.0,0.0,0.585,0.0,0.585,0.585,0.585,9.0,3.0,49.95,3.5250000000000004,1.17,0.255,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,4,24.0,2,0.83,2.0,2.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.39,0.0,0.39,0.39
