Player,Age,Positions,Team,League,Foot,Real_Salary,Market_Value,Goals,Expected Goals,Successful Dribbles,Tackles,Assists,Accurate Passes Percentage,Big Chances Missed,Total Shots,Goal Conversion Percentage,Interceptions,Clearances,Error Lead To Goal,Outfielder Blocks,Big Chances Created,Accurate Passes,Key Passes,Saves,Clean Sheet,Penalty Save,Saved Shots From Inside The Box,Runs Out,Tactical_Role
Vlastimil Daníček,33,"CB, DM",1. FC Slovácko,Czech First League,Right,59696,71976,1.0,2.07,1.0,15.0,1.0,78.49,1.0,20.0,5.0,13.0,63.0,0.0,12.0,2.0,416.0,11.0,0.0,0.0,0.0,0.0,0.0,2
David Puclin,33,"DM, CM",NK Varaždin,HNL,Right,52052,3000000,0.0,0.21,0.0,8.0,0.0,70.75,0.0,3.0,0.0,1.0,11.0,1.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Carl McHugh,32,"CB, DM, CM",Sligo Rovers, Premier Division,Left,49400,3000000,0.0,0.0,0.5,5.5,0.0,74.8,0.0,2.0,0.0,1.5,3.5,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0
Gino Fechner,27,"DM, CM",SV Wehen Wiesbaden,3. Liga,Either,198224,164199,0.0,0.0,3.2,0.0,0.0,78.76,0.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,376.8,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0
Ivan Šunjić,28,"DM, CM",Pafos FC,Cyprus League by Stoiximan,Right,88608,169330,3.2,0.184,4.800000000000001,8.0,3.2,83.05,0.0,10.4,18.18,4.800000000000001,29.6,0.0,4.0,0.0,781.6,8.0,0.0,0.0,0.0,0.0,0.0,0
Mario Zebić,29,"CB, DM",SC Gjilani,AlbiMall Superliga,Right,43108,396669,0.0,0.0,1.0,0.0,0.0,88.16,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Neven Đurasek,26,"DM, CM",HŠK Zrinjski Mostar,WWIN Liga BiH,Right,17472,615747,0.0,0.0,4.5,3.0,1.0,86.24000000000001,0.0,1.5,0.0,4.5,12.0,0.0,1.5,0.0,408.0,5.0,0.0,0.0,0.0,0.0,0.0,0
Thalisson,26,"DM, CM",NK Olimpija Ljubljana,PrvaLiga,Right,32032,273390,0.0,0.0,6.4,0.0,0.0,81.46,0.0,0.8,0.0,0.0,3.2,0.0,0.0,0.0,98.4,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0
Tamás Nikitscher,25,"DM, CM",Real Valladolid,Liga Portugal Betclic,Left,112320,859628,0.0,0.39,7.5,42.0,1.5,87.25999999999999,1.5,10.5,0.0,36.0,43.5,0.0,6.0,0.0,580.5,6.0,0.0,0.0,0.0,0.0,0.0,2
Luan Simnica,21,"DM, CM",Erzgebirge Aue,3. Liga,Left,73788,184724,0.8,0.0,10.4,0.0,0.0,84.14,0.0,8.0,10.0,0.0,10.4,0.0,0.0,0.0,152.8,3.2,0.0,0.0,0.0,0.0,0.0,0
