Player,Age,Positions,Team,League,Foot,Real_Salary,Market_Value,Goals,Expected Goals,Successful Dribbles,Tackles,Assists,Accurate Passes Percentage,Big Chances Missed,Total Shots,Goal Conversion Percentage,Interceptions,Clearances,Error Lead To Goal,Outfielder Blocks,Big Chances Created,Accurate Passes,Key Passes,Saves,Clean Sheet,Penalty Save,Saved Shots From Inside The Box,Runs Out,Tactical_Role
Lionel Messi,38,"AM, RW, ST",Inter Miami CF,MLS,Left,11548472,3000000,10.5,6.87,25.5,4.5,0.0,79.94,4.5,60.0,17.5,1.5,0.0,0.0,0.0,4.5,370.5,22.5,0.0,0.0,0.0,0.0,0.0,0
Nebi Qokthi,18,ST,FK Partizani,Abissnet Superiore,Right,5200,5841,0.0,0.0,5.6000000000000005,0.0,0.0,63.33,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0
Shohei Aihara,29,ST,Mito Hollyhock,J1 League,Left,92924,20508,0.0,0.0,0.0,0.0,0.0,85.71,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
Marcus Thuram,27,ST,Inter,Serie A,Right,6645756,73457576,26.0,20.68,48.0,66.0,12.0,76.775,32.0,190.0,11.795000000000002,2.0,32.0,0.0,2.0,16.0,876.0,78.0,0.0,0.0,0.0,0.0,0.0,1
Alexander Isak,25,"LW, ST",Liverpool,Other leagues,Right,15600000,248579376,3.0,3.1500000000000004,4.0,10.0,1.0,74.12666666666667,7.0,27.0,20.83333333333333,1.0,10.0,0.0,1.0,1.0,94.0,5.0,0.0,0.0,0.0,0.0,0.0,0
Lautaro Martínez,27,ST,Inter,Serie A,Right,14406288,112292872,40.0,33.58,44.0,60.0,8.0,77.1,44.0,220.0,17.635,18.0,38.0,0.0,2.0,28.0,1038.0,84.0,0.0,0.0,0.0,0.0,0.0,1
Robert Lewandowski,36,ST,FC Barcelona,Other leagues,Right,22469356,8409220,16.0,16.560000000000002,10.0,7.0,1.0,49.46,21.0,80.0,12.606666666666667,2.0,16.0,0.0,0.0,4.0,259.0,19.0,0.0,0.0,0.0,0.0,0.0,1
Gerald Kubazi,18,ST,KF Vllaznia,Abissnet Superiore,Left,5200,9696,0.0,0.0,3.2,0.0,0.8,52.5,0.0,5.6000000000000005,0.0,0.0,0.8,0.0,0.0,0.0,16.8,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0
Hugo Ekitiké,23,ST,Liverpool,Other leagues,Right,13000000,78439000,15.0,15.9,63.0,24.0,5.0,80.85666666666667,22.0,104.0,19.526666666666667,5.0,32.0,0.0,3.0,6.0,491.0,31.0,0.0,0.0,0.0,0.0,0.0,1
Rafael Leão,26,"LW, ST",Milan,Serie A,Right,5539508,74113296,18.0,19.3,44.0,10.0,6.0,83.6,18.0,116.0,15.52,8.0,14.0,0.0,0.0,16.0,846.0,36.0,0.0,0.0,0.0,0.0,0.0,1
Ferran Torres,25,"LW, ST",FC Barcelona,Other leagues,Right,8619208,76650816,18.0,15.73,7.0,11.0,2.0,48.616666666666674,24.0,78.0,13.776666666666666,4.0,9.0,0.0,4.0,5.0,332.0,25.0,0.0,0.0,0.0,0.0,0.0,1
Victor Osimhen,26,ST,Galatasaray,Trendyol Süper Lig,Right,22685416,65334036,28.5,30.915,21.0,30.0,7.5,68.315,37.5,177.0,16.23,10.5,39.0,1.5,1.5,12.0,373.5,40.5,0.0,0.0,0.0,0.0,0.0,1
Aldrit Oshafi,25,ST,Flamurtari FC,Abissnet Superiore,Right,10660,5568,1.6,0.0,4.0,0.0,0.8,76.0,0.0,20.0,8.0,0.0,5.6000000000000005,0.0,0.0,0.0,136.8,5.6000000000000005,0.0,0.0,0.0,0.0,0.0,0
Francesco Pio Esposito,20,ST,Inter,Serie A,Right,1598740,38241150,16.0,21.0,10.0,18.0,10.0,72.97,40.0,160.0,9.455,14.0,26.0,0.0,4.0,8.0,684.0,60.0,0.0,0.0,0.0,0.0,0.0,1
Nick Woltemade,23,"AM, ST",VfB Stuttgart,Bundesliga,Right,7020000,71146666,18.0,15.64,38.0,52.0,6.0,74.5475,18.0,88.0,32.7275,12.0,72.0,0.0,6.0,10.0,804.0,56.0,0.0,0.0,0.0,0.0,0.0,1
Serhou Guirassy,29,ST,Borussia Dortmund,Bundesliga,Right,9049300,43210340,36.0,37.88,28.0,4.0,8.0,79.035,42.0,178.0,20.97,0.0,82.0,0.0,4.0,6.0,1082.0,56.0,0.0,0.0,0.0,0.0,0.0,1
Ryo Nemoto,25,ST,Mito Hollyhock,J1 League,Right,96304,18874,0.0,0.0,0.0,0.0,0.0,42.86,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0
Eli Junior Kroupi,19,ST,Bournemouth,Other leagues,Right,1560000,39966666,10.0,6.71,10.0,8.0,0.0,66.82,3.0,40.0,13.16,8.0,29.0,0.0,0.0,2.0,260.0,19.0,0.0,0.0,0.0,0.0,0.0,0
Charles De Ketelaere,24,"AM, ST",Atalanta,Serie A,Left,2774096,43253548,10.0,9.82,114.0,46.0,14.0,78.41,10.0,104.0,12.75,20.0,28.0,0.0,4.0,48.0,1730.0,156.0,0.0,0.0,0.0,0.0,0.0,1
Vitor Roque,20,ST,Palmeiras,Brasileirão Betano,Right,834496,36937964,4.5,2.505,4.5,10.5,0.0,77.78,1.5,18.0,25.0,1.5,3.0,0.0,1.5,1.5,31.5,3.0,0.0,0.0,0.0,0.0,0.0,0
Pocholo Bugas,23,ST,HNK Vukovar 1991,HNL,Right,5200,1130578,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kai Havertz,26,"AM, ST",Arsenal,Other leagues,Left,11440000,33274998,5.0,4.16,5.0,7.0,2.0,69.64,6.0,19.0,44.44333333333333,1.0,7.0,0.0,2.0,3.0,134.0,9.0,0.0,0.0,0.0,0.0,0.0,0
Romelu Lukaku,32,ST,Napoli,Serie A,Left,6645756,3000000,2.0,0.9,0.0,0.0,0.0,59.375,2.0,6.0,25.0,0.0,2.0,0.0,2.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0
Maximilian Beier,22,ST,Borussia Dortmund,Bundesliga,Right,4740060,81482944,18.0,18.44,36.0,54.0,10.0,69.28999999999999,30.0,120.0,12.265,22.0,42.0,0.0,6.0,12.0,850.0,48.0,0.0,0.0,0.0,0.0,0.0,1
João Pedro,23,"LW, AM, RW, ST",Chelsea,Other leagues,Right,4160000,72537334,17.0,16.54,40.0,30.0,6.0,78.40333333333334,18.0,86.0,14.213333333333331,7.0,32.0,0.0,6.0,7.0,654.0,33.0,0.0,0.0,0.0,0.0,0.0,1
Cristiano Ronaldo,40,ST,Al-Nassr,Saudi Pro League,Either,177512296,3000000,36.0,36.885,21.0,4.5,3.0,85.47,33.0,214.5,16.78,1.5,9.0,0.0,0.0,7.5,661.5,33.0,0.0,0.0,0.0,0.0,0.0,1
Mateo Retegui,26,ST,Al-Qadsiah,Saudi Pro League,Right,17236752,78000008,24.0,24.450000000000003,16.5,30.0,1.5,75.63,31.5,132.0,18.18,6.0,21.0,1.5,3.0,6.0,628.5,36.0,0.0,0.0,0.0,0.0,0.0,1
Arsen Lleshi,25,"RW, ST",AF Elbasani,Abissnet Superiore,Right,1872,4950,0.8,0.0,4.0,0.0,0.0,68.89,0.0,11.2,7.14,0.0,0.8,0.0,0.0,0.0,24.8,1.6,0.0,0.0,0.0,0.0,0.0,0
Toni Fernández,16,"CM, AM, ST",FC Barcelona,LaLiga,Left,101764,17284136,0.0,0.0,0.0,0.0,0.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Mathys Tel,20,"LW, ST",Tottenham Hotspur,Other leagues,Right,4680000,43320000,3.0,2.62,40.0,17.0,1.0,79.59333333333333,5.0,37.0,3.703333333333333,3.0,10.0,1.0,1.0,2.0,222.0,25.0,0.0,0.0,0.0,0.0,0.0,0
