Player,Age,Positions,Team,League,Foot,Real_Salary,Market_Value,Goals,Expected Goals,Successful Dribbles,Tackles,Assists,Accurate Passes Percentage,Big Chances Missed,Total Shots,Goal Conversion Percentage,Interceptions,Clearances,Error Lead To Goal,Outfielder Blocks,Big Chances Created,Accurate Passes,Key Passes,Saves,Clean Sheet,Penalty Save,Saved Shots From Inside The Box,Runs Out,Tactical_Role
Joshua Kimmich,30,"RB, DM, CM",FC Bayern München,Bundesliga,Right,16374956,126691856,4.0,7.7,24.0,88.0,14.0,91.165,10.0,70.0,4.0,58.0,44.0,0.0,14.0,34.0,6156.0,160.0,0.0,0.0,0.0,0.0,0.0,1
Reece James,25,"RB, RWB",Chelsea,Premier League,Right,13000000,97200000,4.0,3.06,28.0,110.0,12.0,89.58500000000001,0.0,60.0,4.76,84.0,86.0,2.0,18.0,22.0,2962.0,72.0,0.0,0.0,0.0,0.0,0.0,1
Bekim Maliqi,23,RB,Dinamo City,Abissnet Superiore,Right,6864,2524,0.0,0.0,23.200000000000003,0.0,0.0,83.43,0.0,7.2,0.0,0.0,24.0,0.0,0.0,0.0,451.2000000000001,9.6,0.0,0.0,0.0,0.0,0.0,0
Vicente Espinoza,21,LB,Palestino,Liga de Primera,Left,4160,280282,0.8,0.016,1.6,7.2,0.0,84.505,0.0,4.0,12.5,12.0,64.8,0.8,3.2,0.0,293.6,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0
Myles Lewis-Skelly,18,LB,Arsenal,Other leagues,Left,3640000,58833334,0.0,0.26,15.0,15.0,4.0,90.42333333333332,0.0,8.0,0.0,8.0,27.0,0.0,3.0,4.0,554.0,14.0,0.0,0.0,0.0,0.0,0.0,0
Jorgo Meksi,30,"RB, RWB",Dinamo City,Abissnet Superiore,Right,7904,4009,0.0,0.0,6.4,0.0,0.0,83.21,0.0,4.0,0.0,0.0,8.8,0.0,0.0,0.0,261.6,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0
Riccardo Calafiori,23,"LB, CB",Arsenal,Other leagues,Left,3380000,72508330,1.0,2.98,17.0,41.0,3.0,87.81666666666666,1.0,36.0,1.19,21.0,56.0,0.0,3.0,1.0,741.0,7.0,0.0,0.0,0.0,0.0,0.0,1
Miloš Kerkez,21,"LB, LWB",Liverpool,Other leagues,Left,7280000,73039000,2.0,2.33,13.0,59.0,1.0,81.54,1.0,14.0,8.333333333333334,22.0,77.0,1.0,11.0,3.0,1051.0,34.0,0.0,0.0,0.0,0.0,0.0,1
Jurriën Timber,24,"LB, RB",Arsenal,Other leagues,Right,5720000,64726664,4.0,5.7,24.0,86.0,6.0,86.22666666666667,9.0,33.0,12.333333333333334,33.0,66.0,0.0,6.0,7.0,1202.0,36.0,0.0,0.0,0.0,0.0,0.0,1
Trent Alexander-Arnold,26,"RB, RWB",Real Madrid,LaLiga,Right,12927564,74970800,0.0,0.86,8.0,52.0,10.0,83.785,0.0,24.0,0.0,36.0,38.0,0.0,8.0,16.0,1580.0,64.0,0.0,0.0,0.0,0.0,0.0,1
Federico Dimarco,27,"LB, LWB",Inter,Serie A,Left,6403748,90437472,14.0,13.16,14.0,138.0,30.0,81.43,20.0,172.0,6.92,76.0,90.0,0.0,10.0,72.0,2758.0,212.0,0.0,0.0,0.0,0.0,0.0,1
Arda Yavuz,19,LB,Eyüpspor,Trendyol Süper Lig,Left,8840,16851,0.0,0.0,0.0,4.5,0.0,57.89,0.0,0.0,0.0,1.5,6.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0
Jules Koundé,26,RB,FC Barcelona,Other leagues,Right,11684036,82467880,3.0,2.46,27.0,63.0,4.0,61.01666666666667,6.0,17.0,16.11,37.0,76.0,1.0,15.0,6.0,2057.0,30.0,0.0,0.0,0.0,0.0,0.0,1
Jorrel Hato,19,"LB, CB, LWB",Chelsea,Other leagues,Left,5200000,62104000,0.0,0.69,9.0,40.0,1.0,92.94333333333331,1.0,10.0,0.0,16.0,57.0,1.0,7.0,1.0,987.0,12.0,0.0,0.0,0.0,0.0,0.0,0
Michael Kayode,20,"RB, RWB",Brentford,Other leagues,Right,2600000,53403333,1.0,0.72,49.0,66.0,1.0,88.92,0.0,9.0,6.25,34.0,99.0,1.0,12.0,4.0,893.0,32.0,0.0,0.0,0.0,0.0,0.0,1
Alejandro Balde,21,"LB, LWB",FC Barcelona,Other leagues,Left,3797300,141413168,0.0,0.36,33.0,40.0,3.0,61.26,0.0,9.0,0.0,5.0,28.0,0.0,12.0,4.0,1206.0,30.0,0.0,0.0,0.0,0.0,0.0,1
Conor Bradley,21,"RB, RWB",Liverpool,Other leagues,Right,6240000,50546667,0.0,0.61,13.0,22.0,1.0,85.03333333333333,2.0,10.0,0.0,15.0,35.0,0.0,5.0,3.0,556.0,6.0,0.0,0.0,0.0,0.0,0.0,0
Piero Hincapié,23,"LB, CB",Arsenal,Bundesliga,Left,4309136,51852408,2.0,2.32,18.0,128.0,4.0,86.36,2.0,20.0,12.5,56.0,202.0,0.0,22.0,6.0,1998.0,26.0,0.0,0.0,0.0,0.0,0.0,1
Jeremie Frimpong,24,"RB, RWB, RM",Liverpool,Other leagues,Right,10400000,59891664,0.0,0.6000000000000001,21.0,19.0,1.0,83.34666666666668,1.0,10.0,0.0,9.0,18.0,0.0,0.0,5.0,453.0,17.0,0.0,0.0,0.0,0.0,0.0,0
Alphonso Davies,24,"LB, LWB",FC Bayern München,Bundesliga,Left,12927564,83759792,2.0,0.58,30.0,26.0,6.0,94.605,0.0,8.0,16.665,8.0,24.0,0.0,10.0,2.0,772.0,20.0,0.0,0.0,0.0,0.0,0.0,1
