Player,Age,Positions,Team,League,Foot,Real_Salary,Market_Value,Goals,Expected Goals,Successful Dribbles,Tackles,Assists,Accurate Passes Percentage,Big Chances Missed,Total Shots,Goal Conversion Percentage,Interceptions,Clearances,Error Lead To Goal,Outfielder Blocks,Big Chances Created,Accurate Passes,Key Passes,Saves,Clean Sheet,Penalty Save,Saved Shots From Inside The Box,Runs Out,Tactical_Role
Kengo Nagai,30,GK,Kashiwa Reysol,J1 League,Right,38688,51382,0.0,0.0,0.0,0.0,0.0,82.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.8,0.0,0.0,0.0,0.0,2
Gregor Kobel,27,GK,Borussia Dortmund,Bundesliga,Right,7756528,61476212,0.0,0.0,0.0,0.0,0.0,72.695,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,1802.0,0.0,218.0,30.0,0.0,72.0,19.0,1
Klevi Totoshi,20,GK,AF Elbasani,Abissnet Superiore,Right,0,130957,0.0,0.0,0.0,0.0,0.0,90.99,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,80.80000000000001,0.0,12.8,1.6,0.0,0.0,0.0,2
Jan Oblak,32,GK,Atlético Madrid,Other leagues,Right,16003780,3000000,0.0,0.0,0.0,0.0,1.0,47.85666666666666,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,765.0,2.0,89.0,10.0,0.0,62.0,17.0,1
Diogo Costa,25,GK,FC Porto,Other leagues,Right,4136808,51852408,0.0,0.0,1.0,0.0,0.0,76.005,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1028.0,0.0,83.0,21.0,1.0,44.0,26.0,1
Giorgi Mamardashvili,24,GK,Liverpool,Other leagues,Left,6500000,52286667,0.0,0.0,0.0,0.0,0.0,70.62,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,303.0,0.0,43.0,3.0,1.0,28.0,12.0,2
Joan García,24,GK,FC Barcelona,Other leagues,Right,5172440,72206752,0.0,0.0,1.0,5.0,0.0,56.77,0.0,0.0,0.0,2.0,47.0,1.0,0.0,0.0,865.0,1.0,87.0,14.0,0.0,67.0,62.0,1
Mike Maignan,29,GK,Milan,Serie A,Right,5645016,75364552,0.0,0.0,6.0,0.0,0.0,78.01,0.0,0.0,0.0,2.0,40.0,2.0,0.0,0.0,1490.0,0.0,178.0,24.0,2.0,56.0,9.0,1
Ederson,31,GK,Fenerbahçe,Other leagues,Left,11882832,3000000,0.0,0.0,0.0,0.0,0.0,72.8,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,675.0,1.0,78.0,11.0,0.0,47.0,12.0,1
David Raya,29,GK,Arsenal,Premier League,Right,8320000,60937500,0.0,0.0,2.0,4.0,0.0,67.185,0.0,0.0,0.0,2.0,78.0,2.0,0.0,0.0,1772.0,6.0,162.0,46.0,0.0,62.0,39.0,1
Mile Svilar,25,GK,Roma,Other leagues,Right,3767920,41708776,0.0,0.0,0.0,3.0,0.0,67.25,0.0,0.0,0.0,1.0,26.0,1.0,0.0,0.0,907.0,2.0,121.0,17.0,0.0,73.0,25.0,1
Julen Fernández,26,GK,FC Ordino,Primera Divisió,Right,1560,236219,0.0,0.0,0.0,0.0,0.5,76.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,3.0,0.0,0.0,0.0,0.0,2
Aron Jukaj,20,GK,KF Vllaznia,Abissnet Superiore,Right,5200,8849,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.200000000000003,0.0,4.0,0.8,0.0,0.0,0.0,2
Xisco Pires,27,GK,FC Ordino,Primera Divisió,Right,1508,257191,0.0,0.0,0.0,0.0,0.5,72.49,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,151.5,0.5,23.0,1.5,0.0,0.0,0.0,2
Bart Verbruggen,22,GK,Brighton & Hove Albion,Premier League,Right,1300000,49191667,0.0,0.0,2.0,2.0,0.0,76.82,0.0,0.0,0.0,0.0,58.0,6.0,0.0,0.0,2154.0,2.0,190.0,18.0,1.0,69.0,19.0,1
Jordan Pickford,31,GK,Everton,Premier League,Left,9880000,3000000,0.0,0.0,0.0,4.0,0.0,62.24,0.0,0.0,0.0,0.0,84.0,6.0,0.0,0.0,1546.0,2.0,182.0,22.0,1.0,62.0,31.0,1
Marco Carnesecchi,25,GK,Atalanta,Serie A,Right,1279044,32440162,0.0,0.0,4.0,0.0,0.0,65.735,0.0,0.0,0.0,0.0,94.0,2.0,0.0,0.0,1820.0,2.0,268.0,30.0,3.0,97.0,30.0,1
Andriy Lunin,26,GK,Real Madrid,Other leagues,Right,2413164,28933642,0.0,0.0,0.0,0.0,0.0,53.03,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,208.0,0.0,27.0,0.0,0.0,19.0,4.0,2
Yann Sommer,36,GK,Inter,Serie A,Right,2774096,4371115,0.0,0.0,0.0,2.0,0.0,79.995,0.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,2072.0,0.0,180.0,36.0,0.0,52.0,12.0,1
Renato Beqaj,21,GK,KF Bylis,Abissnet Superiore,Right,5200,47703,0.0,0.0,0.0,0.0,0.0,68.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.200000000000003,0.0,4.800000000000001,0.8,0.0,0.0,0.0,2
